acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times
0.6137263360909506,0.6087397858194183,0.6047302441252601,30,12,9,100,300,6.2
0.6054534842409786,0.6066081307415114,0.601342435162158,30,12,9,100,1000,5.5
0.6013931888544891,0.6019895447393798,0.5966223417753641,30,12,9,400,300,5.1
0.6003019844693701,0.6002131655077907,0.5971933208140893,30,12,9,400,1000,5.0
0.6169999492463076,0.6124448053595899,0.6072425518956505,30,12,18,100,300,11.2
0.6057453179718825,0.6054915495102269,0.6022560016241182,30,12,18,100,1000,10.0
0.6015835152007308,0.6016342688930619,0.5983606557377049,30,12,18,400,300,9.9
0.6016596457392275,0.6020402984317109,0.5981322641222149,30,12,18,400,1000,9.2
0.6218342384408466,0.6113282241283053,0.6073694361264782,30,20,9,100,300,6.9
0.6069887834339949,0.6075724508958027,0.6023321321626148,30,20,9,100,1000,5.7
0.6031061259706644,0.6027508501243466,0.5978150535451454,30,20,9,400,300,5.3
0.6021291173932903,0.6016342688930619,0.5987666852763539,30,20,9,400,1000,5.2
0.6238263208648429,0.6141704308988479,0.6106811145510835,30,20,18,100,300,12.3
0.6071664213571537,0.6073186824341471,0.6033472060092372,30,20,18,100,1000,10.5
0.6041846419327006,0.602953864893671,0.6009364056235091,30,20,18,400,300,9.7
0.6028904227782571,0.6030553722783333,0.5991854032380856,30,20,18,400,1000,9.3
0.6143226919758412,0.6103639039740141,0.6066461960107598,100,12,9,100,300,20.1
0.6061386590874486,0.6070141602801604,0.6024590163934426,100,12,9,100,1000,18.3
0.6014946962391514,0.6004161802771152,0.5978277419682282,100,12,9,400,300,17.0
0.6006826371618535,0.6005176876617774,0.596977617621682,100,12,9,400,1000,16.8
0.6176597472466122,0.6126478201289144,0.6084098868192661,100,12,18,100,300,37.6
0.6062782317413592,0.6070649139724915,0.6032583870476577,100,12,18,100,1000,33.5
0.6030807491244988,0.6024463279703598,0.5998452012383901,100,12,18,400,300,33.6
0.6009490940465919,0.6014820078160686,0.5985509820839466,100,12,18,400,1000,31.3
0.6218469268639294,0.6118865147439476,0.6101735776277725,100,20,9,100,300,24.6
0.6083464447038522,0.6080799878191139,0.6041592650865351,100,20,9,100,1000,21.8
0.603702481855555,0.6023955742780287,0.5987920621225195,100,20,9,400,300,17.6
0.6021291173932903,0.6018372836623864,0.5981195756991321,100,20,9,400,1000,25.5
0.6242196619804091,0.6144749530528346,0.6124701822057554,100,20,18,100,300,46.1
0.6080292341267827,0.6077754656651272,0.6043622798558596,100,20,18,100,1000,38.7
0.6050093894330812,0.6026493427396843,0.6014820078160686,100,20,18,400,300,36.7
0.6027127848550982,0.6027508501243466,0.5994772369689895,100,20,18,400,1000,32.1
0.6159341217073542,0.6098056133583718,0.6075343856265544,400,12,9,100,300,86.3
0.6064558696645181,0.6066081307415114,0.6027635385474294,400,12,9,100,1000,74.8
0.6018245952393037,0.6007207024311019,0.5983479673146221,400,12,9,400,300,74.4
0.6002131655077907,0.6000609044307973,0.5973075166218342,400,12,9,400,1000,71.4
0.6178120083236055,0.6125970664365833,0.6087397858194183,400,12,18,100,300,156.2
0.6059102674719585,0.6074201898188093,0.603702481855555,400,12,18,100,1000,144.2
0.6023701974318632,0.6017865299700553,0.5991346495457545,400,12,18,400,300,132.7
0.6008729635080952,0.6010252245850886,0.5986017357762777,400,12,18,400,1000,123.3
0.6223544637872406,0.6121402832056032,0.6104273460894281,400,20,9,100,300,92.6
0.6087905395117494,0.607724711972796,0.6051108968177434,400,20,9,100,1000,77.7
0.6030426838552505,0.6012789930467441,0.5996168096229001,400,20,9,400,300,74.2
0.6021037405471248,0.6000609044307973,0.5984875399685327,400,20,9,400,1000,69.5
0.6241308430188296,0.6149317362838147,0.6117723189362027,400,20,18,100,300,173.6
0.6081814952037761,0.6074709435111404,0.6049840125869157,400,20,18,100,1000,142.0
0.6034740902400649,0.6012789930467441,0.6005049992386946,400,20,18,400,300,133.9
0.6024843932396082,0.6019387910470487,0.5997183170075623,400,20,18,400,1000,127.3
