acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,9,100,300,6.4
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,9,100,1000,6.2
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,9,400,300,6.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,9,400,1000,6.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,18,100,300,12.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,18,100,1000,11.4
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,18,400,300,11.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,12,18,400,1000,10.9
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,9,100,300,8.4
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,9,100,1000,7.8
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,9,400,300,6.7
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,9,400,1000,6.6
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,18,100,300,19.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,18,100,1000,15.8
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,18,400,300,16.6
0.9668959041770289,0.9662487945998072,0.9668959041770289,30,20,18,400,1000,17.2
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,9,100,300,24.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,9,100,1000,21.6
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,9,400,300,19.9
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,9,400,1000,20.4
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,18,100,300,41.9
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,18,100,1000,43.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,18,400,300,40.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,12,18,400,1000,40.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,9,100,300,29.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,9,100,1000,26.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,9,400,300,26.5
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,9,400,1000,22.3
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,18,100,300,60.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,18,100,1000,55.4
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,18,400,300,46.9
0.9668959041770289,0.9662487945998072,0.9668959041770289,100,20,18,400,1000,42.7
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,9,100,300,90.5
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,9,100,1000,89.3
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,9,400,300,83.8
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,9,400,1000,79.5
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,18,100,300,166.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,18,100,1000,160.3
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,18,400,300,147.8
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,12,18,400,1000,146.4
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,9,100,300,112.5
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,9,100,1000,103.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,9,400,300,89.0
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,9,400,1000,88.5
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,18,100,300,217.6
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,18,100,1000,201.6
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,18,400,300,172.1
0.9668959041770289,0.9662487945998072,0.9668959041770289,400,20,18,400,1000,169.4
