acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times
0.8273993808049536,0.8259148353042683,0.8258260163426889,30,12,9,100,300,6.5
0.8243541592650865,0.8238339339186926,0.824036948688017,30,12,9,100,1000,6.1
0.8232122011876364,0.8223113231487591,0.8228442369182358,30,12,9,400,300,6.0
0.8226285337258286,0.8216515251484545,0.8216388367253717,30,12,9,400,1000,5.5
0.8296325432675227,0.8271329239202152,0.826967974420139,30,12,18,100,300,12.3
0.8244049129574177,0.8242399634573415,0.8239227528802721,30,12,18,100,1000,10.8
0.8238339339186926,0.8234279043800437,0.8233771506877126,30,12,18,400,300,10.2
0.8237831802263614,0.8238339339186926,0.8236309191493681,30,12,18,400,1000,10.0
0.8276658376896919,0.826625386996904,0.8258006394965234,30,20,9,100,300,7.4
0.8245952393036593,0.8243922245343349,0.8239100644571893,30,20,9,100,1000,6.4
0.8231487590722225,0.8224635842257524,0.823123382226057,30,20,9,400,300,5.8
0.8230218748413947,0.8219052936101101,0.822717352687408,30,20,9,400,1000,5.7
0.8301527686139166,0.8277927219205197,0.8268537786123941,30,20,18,100,300,13.8
0.824214586611176,0.8238846876110237,0.8238466223417754,30,20,18,100,1000,11.9
0.8236816728416992,0.8232248896107192,0.8233644622646298,30,20,18,400,300,10.5
0.8237197381109476,0.8234279043800437,0.823694361264782,30,20,18,400,1000,10.3
0.8275897071511953,0.8263716185352484,0.8259782774196823,100,12,9,100,300,20.9
0.8244683550728316,0.8241384560726793,0.8241638329188449,100,12,9,100,1000,19.2
0.8231360706491397,0.8222098157640968,0.8228569253413186,100,12,9,400,300,18.2
0.8231487590722225,0.8221083083794346,0.8226539105719941,100,12,9,400,1000,18.0
0.8303304065370756,0.827894229305182,0.8273359386895397,100,12,18,100,300,39.5
0.8244556666497488,0.8240877023803481,0.8240242602649342,100,12,18,100,1000,37.0
0.8235928538801198,0.8234279043800437,0.8232502664568847,100,12,18,400,300,36.0
0.8233771506877126,0.8229711211490636,0.8231614474953053,100,12,18,400,1000,33.9
0.8278434756128509,0.826219357458255,0.826054407958179,100,20,9,100,300,24.0
0.8244810434959143,0.8238339339186926,0.8239608181495204,100,20,9,100,1000,20.8
0.823123382226057,0.8223620768410902,0.8228442369182358,100,20,9,400,300,18.9
0.8231868243414708,0.8226158453027458,0.8230345632644774,100,20,9,400,1000,18.4
0.8303684718063239,0.8283002588438308,0.8276404608435264,100,20,18,100,300,44.8
0.8244302898035832,0.8241892097650104,0.8239861949956859,100,20,18,100,1000,38.7
0.8234913464954575,0.8233263969953815,0.8232629548799675,100,20,18,400,300,34.7
0.8235167233416231,0.8231741359183881,0.8231995127645536,100,20,18,400,1000,34.4
0.8276150839973608,0.8262701111505862,0.8259402121504339,400,12,9,100,300,81.9
0.8245825508805765,0.8243922245343349,0.823871999187941,400,12,9,100,1000,75.0
0.8231614474953053,0.8225650916104147,0.822945744302898,400,12,9,400,300,71.1
0.8231106938029742,0.8224635842257524,0.8225904684565802,400,12,9,400,1000,72.6
0.8302542759985789,0.8271836776125463,0.8274755113434502,400,12,18,100,300,169.5
0.8245825508805765,0.8241384560726793,0.824214586611176,400,12,18,100,1000,156.1
0.8235928538801198,0.8234279043800437,0.8232248896107192,400,12,18,400,300,147.5
0.8233644622646298,0.8231741359183881,0.8229964979952291,400,12,18,400,1000,145.6
0.8277419682281886,0.8265238796122418,0.8261178500735928,400,20,9,100,300,107.8
0.8243795361112521,0.8241892097650104,0.8239227528802721,400,20,9,100,1000,94.5
0.8231614474953053,0.8226665989950769,0.8229584327259808,400,20,9,400,300,80.8
0.823123382226057,0.8223620768410902,0.8227934832259047,400,20,9,400,1000,73.6
0.8301147033446683,0.8276912145358575,0.8273232502664569,400,20,18,100,300,195.3
0.8244937319189971,0.8241384560726793,0.8241384560726793,400,20,18,100,1000,158.2
0.8235547886108714,0.8233771506877126,0.8232122011876364,400,20,18,400,300,138.9
0.8234786580723747,0.8232756433030503,0.8229584327259808,400,20,18,400,1000,135.5
