acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.8822649770295686,0.88,0.8774704775999753,30,12,9,100,300,14.3,0.8781550145186509,0.8751917393093643
0.8684364690284587,0.868273381294964,0.8660469275121019,30,12,9,100,1000,13.9,0.8625632106161626,0.8617956749820734
0.868528967409737,0.8672841726618705,0.8645207042210095,30,12,9,400,300,14.0,0.8622916935796409,0.8603123521060104
0.8640196713224185,0.8648561151079137,0.8621080381093331,30,12,9,400,1000,13.3,0.8582653758084602,0.8584294219609617
0.8779175531094873,0.8764568345323741,0.873732001356643,30,12,18,100,300,27.6,0.8734154957719912,0.8712585512135695
0.862994480929917,0.8638669064748201,0.8613295100669072,30,12,18,100,1000,25.5,0.8559199753570792,0.8563020902549694
0.8597107883945364,0.8592625899280576,0.8565427188357537,30,12,18,400,300,26.0,0.8528555720845998,0.8516896950398969
0.8591403817099867,0.8593884892086331,0.8575447846329356,30,12,18,400,1000,28.3,0.8517539020670409,0.8512726857664651
0.8879921684703851,0.8856654676258993,0.8836987019393827,30,20,9,100,300,18.9,0.883319816600689,0.8803568403816836
0.872290568248389,0.8711870503597122,0.869577282397558,30,20,9,100,1000,16.1,0.8658265982086458,0.864083197327969
0.8702556038602658,0.8694964028776978,0.8666558751888509,30,20,9,400,300,15.0,0.8638804425179529,0.8625028424164329
0.8676193999938334,0.867589928057554,0.864050504116178,30,20,9,400,1000,14.6,0.8615067012886473,0.8606895507701623
0.8834443313908673,0.8810071942446043,0.879258779638023,30,20,18,100,300,33.8,0.8786524247847266,0.8755595681450551
0.8632103104862332,0.863453237410072,0.8628017759689205,30,20,18,100,1000,31.0,0.8561446173800259,0.8558079465167516
0.8584235192550796,0.8586510791366907,0.8555021120463725,30,20,18,400,300,28.2,0.8505423505382819,0.8501649158261997
0.8593330866709833,0.858794964028777,0.8570283353374649,30,20,18,400,1000,29.9,0.8516859959526345,0.8503003146153113
0.8815558227731015,0.8798561151079136,0.878372336817439,100,12,9,100,300,49.6,0.8772468005560081,0.8749719248334208
0.8677966885579502,0.8671762589928057,0.8666250423950914,100,12,9,100,1000,45.7,0.8609848024316109,0.8597047816257909
0.867866062343909,0.8673021582733813,0.8667329571732495,100,12,9,400,300,45.3,0.8611893887863182,0.859941531569156
0.8654148552400333,0.8655395683453238,0.8644667468319305,100,12,9,400,1000,44.3,0.8590207350946322,0.8584251789569367
0.8791816976536244,0.8775719424460432,0.8764144544137145,100,12,18,100,300,90.9,0.8744895181050912,0.872128191159619
0.8634261400425493,0.8641726618705036,0.8622622020781303,100,12,18,100,1000,97.1,0.8557001612561693,0.8558723615405167
0.8604893164369624,0.8599460431654676,0.8586008078191965,100,12,18,400,300,86.7,0.8527351282739766,0.851395965725845
0.8587703881848734,0.8589388489208634,0.8572827058859803,100,12,18,400,1000,84.5,0.8507129471196937,0.8500869698186059
0.8869978108716431,0.8838848920863309,0.8836139117565442,100,20,9,100,300,57.7,0.8822660177645,0.8784134995668387
0.870078315296149,0.8694424460431655,0.8683670952424999,100,20,9,100,1000,50.9,0.8631666111918428,0.8618622618889036
0.868582924798816,0.8675,0.8666558751888509,100,20,9,400,300,46.7,0.8614724594346446,0.8596735175908112
0.866871704745167,0.8660611510791367,0.8649600715320815,100,20,9,400,1000,46.2,0.8599576735021527,0.8583924394835422
0.8856720007399871,0.8823021582733813,0.8816174883606204,100,20,18,100,300,107.5,0.8808234367718194,0.8766446748350611
0.865098819103999,0.8649820143884892,0.8639040483458206,100,20,18,100,1000,98.1,0.8573989423680202,0.8566025481843709
0.8614913822341442,0.8606474820143885,0.8596876637992168,100,20,18,400,300,88.1,0.853394469963367,0.8516845329249616
0.8594872506397805,0.8596223021582734,0.8580612339284063,100,20,18,400,1000,88.2,0.8512828880277381,0.8506591661404816
