acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.876875222758643,0.8737809026990248,0.8678433723228461,30,12,9,100,300,11.6,0.8777761695694826,0.8752568461164867
0.863550205747983,0.8637257125576472,0.8575316722288825,30,12,9,100,1000,10.7,0.8651396639099491,0.8658504818963273
0.8538136279687651,0.8543509488168141,0.8468311570488934,30,12,9,400,300,10.2,0.8538266525193783,0.8550359306219195
0.8519424553672682,0.8523852725485749,0.8464747432200369,30,12,9,400,1000,10.1,0.8519640398477363,0.8529522518451573
0.8794268217606843,0.8753307628335979,0.8722175420406312,30,12,18,100,300,20.5,0.8802484332134611,0.8767471410419313
0.8665392217218028,0.8653700763589627,0.8596134530019764,30,12,18,100,1000,19.2,0.868660618911723,0.8681438699764905
0.8543158474548812,0.8547856656838285,0.8499254771085119,30,12,18,400,300,17.8,0.8552480140365563,0.8564435060445823
0.8538298285973496,0.852971195282377,0.8474062793636393,30,12,18,400,1000,17.5,0.8538310126120872,0.8536709241737364
0.8815653047338237,0.8768617222348227,0.8735216926416745,30,20,9,100,300,13.3,0.8841286068646331,0.8801177661238385
0.8643926384343713,0.8624782641566493,0.8590383306872307,30,20,9,100,1000,11.8,0.8675857595962951,0.8664071680376028
0.8553202864271133,0.8554093898843275,0.8476168875352363,30,20,9,400,300,10.7,0.8553191144664685,0.8561110484144002
0.8519991575673136,0.8525931806154079,0.8463694391342385,30,20,9,400,1000,10.4,0.8515120238608012,0.8527073221401725
0.8865550983378155,0.8824752400393135,0.8787139941029712,30,20,18,100,300,23.4,0.8883467667998054,0.8848902217779259
0.8678271716942617,0.8657291902925833,0.8620354469753426,30,20,18,100,1000,20.9,0.8704557904681757,0.869031377899045
0.8542105433690828,0.8544265517502079,0.8493422544794738,30,20,18,400,300,18.0,0.8540734254394501,0.8549529190207156
0.8534167125684476,0.8535949194828759,0.8479084988497554,30,20,18,400,1000,18.3,0.8537720602495313,0.8546062016667918
0.8769967274730259,0.8739321085658124,0.8723714480121829,100,12,9,100,300,38.2,0.8777424419306792,0.8752384871497512
0.86542137834948,0.8656724880925379,0.8615332274892266,100,12,9,100,1000,35.6,0.8671113883956423,0.8679462643304409
0.8580743932864595,0.8586603160202616,0.8544697534264329,100,12,9,400,300,34.0,0.8579466681800861,0.8593091511137868
0.8552068820270227,0.8554660920843729,0.8520963613388199,100,12,9,400,1000,33.2,0.8547468328715028,0.8556706868240758
0.8819865210770178,0.8780902699024722,0.8761542947866378,100,12,18,100,300,71.1,0.8830484936543231,0.8797180366999852
0.8669199364935359,0.8666553262266576,0.8633557982049703,100,12,18,100,1000,64.4,0.868829292050236,0.8691701437181271
0.8571428571428571,0.8571104558856883,0.8545507565693549,100,12,18,400,300,59.7,0.8572977521725761,0.8580121703853956
0.85534458736999,0.8552959854842368,0.8527281858536111,100,12,18,400,1000,59.2,0.8552038400415141,0.8560090276471696
0.884368013478923,0.8800937476374083,0.8777986585879533,100,20,9,100,300,43.8,0.8862613240695737,0.8824793449668408
0.8668956355506594,0.8651810690254782,0.8636798107766581,100,20,9,100,1000,39.3,0.869781595714331,0.8686347814876887
0.8592408385445355,0.8598321614878657,0.8550043741697178,100,20,9,400,300,35.8,0.8596263056280343,0.8608264835041098
0.8554012895700354,0.8557874045512965,0.8525337783105984,100,20,9,400,1000,35.1,0.8550714047949598,0.8561300297922088
0.8884262709393125,0.8833257730399939,0.8822214301914915,100,20,18,100,300,79.5,0.8901735025834024,0.8857423140281712
0.8678433723228461,0.8657669917592803,0.8644574409487088,100,20,18,100,1000,70.5,0.8713723696970175,0.8698313782991203
0.8575073712860058,0.8570915551523399,0.8541943427404983,100,20,18,400,300,62.6,0.8578769198452004,0.8582941319789343
0.8556199980559246,0.8553148862175852,0.8532061043968506,100,20,18,400,1000,61.4,0.8560398022808775,0.856489379651675
