acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.8276240939942229,0.821059378101224,0.8179304967304046,30,12,9,100,300,10.7,0.8174121975484767,0.8095667671455917
0.8183646706480711,0.8130582203109494,0.8111875099682787,30,12,9,100,1000,10.4,0.8062787642817317,0.7996632250631454
0.8124457282602917,0.8081789612967251,0.8067128604086551,30,12,9,400,300,10.0,0.7982961854756481,0.7928925398455288
0.8129419270233391,0.8089439298709891,0.8065710893334987,30,12,9,400,1000,9.8,0.7987914716786917,0.7934925920132294
0.8210849031526343,0.8157666225603705,0.814909000691134,30,12,18,100,300,20.3,0.8087915001609817,0.8020349676760047
0.8080065214694572,0.8050777373470063,0.8053926172712612,30,12,18,100,1000,18.6,0.7929993503763997,0.7890166942666608
0.8060128657250705,0.803754548461793,0.8016534051640114,30,12,18,400,300,18.9,0.7908598504026519,0.787593984962406
0.8022293501568343,0.7998470062851472,0.798702794662319,30,12,18,400,1000,18.6,0.7866523925137165,0.7833888975902267
0.8354835279732052,0.8288951372808468,0.8274734622268691,30,20,9,100,300,13.2,0.8237839889906515,0.8156382267765651
0.8212355349199879,0.8156839232550447,0.8146786226940048,30,20,9,100,1000,12.0,0.8066436012689162,0.7995953692255815
0.8126318027964344,0.8087371816076745,0.8074660192454235,30,20,9,400,300,10.9,0.7945234763681593,0.7892950688987587
0.815458363607365,0.8125206748263315,0.8093444859912456,30,20,9,400,1000,10.5,0.8003412805690566,0.7962338771291179
0.8278367506069574,0.8209146543169037,0.8217405943752326,30,20,18,100,300,24.2,0.8165146278353828,0.8078782770704874
0.8119849722660334,0.8085097585180284,0.8086179092310691,30,20,18,100,1000,22.0,0.7975769139041259,0.7928612962383147
0.80367364298499,0.8009014224280516,0.800767335944284,30,20,18,400,300,20.0,0.7872158572539829,0.7832643140079222
0.8038774389055273,0.801687065828647,0.7992521575785501,30,20,18,400,1000,19.8,0.7875978811607554,0.7844784972812654
0.8310620425667653,0.8242226265299372,0.8243722199578231,100,12,9,100,300,35.2,0.8214158595755043,0.8133069828722002
0.820136809087526,0.8145674826331459,0.8168051888213507,100,12,9,100,1000,33.6,0.8084042021010505,0.801785674821543
0.8139786280104202,0.8097915977505789,0.8099204309840685,100,12,9,400,300,31.9,0.8012872692853762,0.7959636282989576
0.8132520512502437,0.8085097585180284,0.8092736004536675,100,12,9,400,1000,31.6,0.7996044574601605,0.7935354436023184
0.8222279324460827,0.8173379093615614,0.8176912580410781,100,12,18,100,300,74.8,0.8099608801492806,0.8037582461517958
0.810549540130075,0.8079722130334105,0.8081394318524163,100,12,18,100,1000,65.1,0.7956611076599608,0.7919727647375022
0.805321731733683,0.8026174330135627,0.803124280068759,100,12,18,400,300,60.5,0.7898135481340464,0.7858792921703636
0.8031951656063372,0.8005913000330798,0.8007850573286786,100,12,18,400,1000,64.5,0.7870081798218276,0.7835356958502593
0.8352088465150898,0.8284609659278862,0.8287405412110794,100,20,9,100,300,42.8,0.8236721846142178,0.8156508987490834
0.8193216254053767,0.8145881574594773,0.8159013982172287,100,20,9,100,1000,38.6,0.8045397467480804,0.7985986345670141
0.8139166031650392,0.8106599404565001,0.8105938435910613,100,20,9,400,300,35.7,0.7980226396222241,0.7935527502254283
0.8147406475393858,0.8110320873304664,0.8111786492760814,100,20,9,400,1000,35.3,0.7993397059388077,0.7943479434794348
0.8293164862039023,0.8226099900760834,0.8238139963493948,100,20,18,100,300,106.2,0.8176042268324323,0.8092824753267538
0.8122153502631626,0.8092954019186239,0.8098938489074766,100,20,18,100,1000,90.5,0.796781957482716,0.7927656706358123
0.8045242694359284,0.8016457161759841,0.8028318772262489,100,20,18,400,300,81.6,0.7884709424410075,0.7844044943820224
0.8034609863722554,0.801418293086338,0.8012458133229368,100,20,18,400,1000,81.5,0.7866698725655206,0.7836370598968305
