acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.7254706809322385,0.7138111211456586,0.7136932902048603,30,12,9,100,300,4.7,0.7317593668116372,0.717411382528106
0.7121174421497886,0.7091665591536576,0.7054269995300102,30,12,9,100,1000,4.1,0.7207936720740046,0.7153095696650144
0.7062149235575461,0.7031995871500452,0.7010865057642863,30,12,9,400,300,3.9,0.7151186949586478,0.7099356953725886
0.7050537723590722,0.7032318410527674,0.6985706781675928,30,12,9,400,1000,3.8,0.7131622460913869,0.7089304356078582
0.7271571148157364,0.7151657850599923,0.7171629205717287,30,12,18,100,300,8.6,0.7319444821685634,0.7173989567666165
0.7161952945730005,0.7100374145271577,0.7100439578667994,30,12,18,100,1000,8.2,0.7213528589459969,0.7123936272314287
0.7096707306958613,0.7059089149787124,0.7050537723590722,30,12,18,400,300,7.5,0.7189068376182766,0.7126197680282401
0.7099057255812667,0.7075861179202684,0.7047634845594537,30,12,18,400,1000,7.3,0.7167957679954657,0.71213564488474
0.7294379475270244,0.7171332731260482,0.7167758701722374,30,20,9,100,300,5.3,0.7342033433370904,0.7200051082306366
0.7134997650051146,0.7095858598890465,0.7072516656990406,30,20,9,100,1000,4.5,0.7194639956686518,0.713010773251737
0.7065881507284841,0.7046510127725455,0.7009620967073069,30,20,9,400,300,4.4,0.7119085751513342,0.7072663917393947
0.7064084487572918,0.7028125403173784,0.6989577285670842,30,20,9,400,1000,4.9,0.7148553400013427,0.709043829733485
0.7318293660667385,0.7169397497097149,0.7199413895109342,30,20,18,100,300,10.1,0.7351608147217823,0.717976733723247
0.7173287993143679,0.7120049025932138,0.7112880484365929,30,20,18,100,1000,8.1,0.7229320506740737,0.7155372901334862
0.7120206795499157,0.7064249774222681,0.7068231456138896,30,20,18,400,300,8.1,0.7193339350910047,0.7114506720770987
0.7119515634071494,0.7075216101148238,0.7058693428437146,30,20,18,400,1000,7.6,0.7181159028191114,0.7111733978850809
0.7246412872190429,0.7145529609082699,0.7157529512592962,100,12,9,100,300,18.5,0.7318616233678826,0.7195995184082125
0.7130159520057504,0.7086827506128242,0.7082607613834287,100,12,9,100,1000,15.2,0.7223091636237176,0.7157603222557904
0.708537225954494,0.7063604696168236,0.7042934947886428,100,12,9,400,300,14.7,0.7177791757572513,0.7135485494934238
0.7072516656990406,0.7053928525351567,0.7031461668187222,100,12,9,400,1000,14.1,0.715739174787254,0.7119157257301456
0.7265627159879462,0.7158108631144369,0.7175914406568799,100,12,18,100,300,30.5,0.732786685938914,0.7196716617352296
0.7164717591440657,0.711746871371436,0.7112051090652732,100,12,18,100,1000,26.5,0.7231124370587361,0.7158978923610008
0.7111636393796135,0.7064572313249903,0.7076663625556385,100,12,18,400,300,24.6,0.7201425069981116,0.7129836954807783
0.7110807000082939,0.7078441491420462,0.7070028475850819,100,12,18,400,1000,24.2,0.7197242969975728,0.713988001263025
0.7296314727267701,0.7183266675267708,0.7186558292554809,100,20,9,100,300,17.6,0.7344799967419193,0.7210884353741497
0.7146747394321418,0.7108760159979357,0.7100577810953527,100,20,9,100,1000,15.3,0.7221601539890431,0.7161674371477423
0.7095324984103287,0.7071668171848794,0.705150534958945,100,20,9,400,300,13.6,0.7168021132360275,0.7122254271133791
0.7081778220121091,0.7062959618113792,0.7042243786458765,100,20,9,400,1000,13.7,0.7168019317190958,0.7125086821999115
0.7323546487517625,0.717939620694104,0.7217384092228581,100,20,18,100,300,32.8,0.7355134825014342,0.7190902958465837
0.7183517182273091,0.7131015352857696,0.7124353764065136,100,20,18,100,1000,27.5,0.7235976395577562,0.7159145348280157
0.7133891791766885,0.7092955747645465,0.7084404633546211,100,20,18,400,300,25.4,0.7213920988981456,0.7147152850314943
0.7126150783777059,0.7077796413366018,0.7075834231843189,100,20,18,400,1000,25.4,0.7212538882334013,0.7139970957762486
