Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
03 Jan 2020,MSQ,OZH,M9318,2:11,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:11 PM
03 Jan 2020,OZH,MSQ,M9317,-,UR-14005,4:45 AM,â€”,7:00 AM,Landed 7:07 AM
02 Jan 2020,MSQ,OZH,M9318,2:05,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:04 PM
02 Jan 2020,OZH,MSQ,M9317,2:36,UR-14005,4:45 AM,4:54 AM,7:00 AM,Landed 7:30 AM
30 Dec 2019,MSQ,OZH,M9318,2:07,UR-14005,12:00 PM														,12:01 PM														,2:15 PM,Landed 2:09 PM
30 Dec 2019,OZH,MSQ,M9317,2:05,UR-14005,4:45 AM,5:07 AM,7:00 AM,Landed 7:12 AM
29 Dec 2019,MSQ,OZH,M9318,2:39,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:39 PM
29 Dec 2019,OZH,MSQ,M9317,2:07,UR-14005,5:45 AM,6:03 AM,8:00 AM,Landed 8:10 AM
27 Dec 2019,MSQ,OZH,M9318,2:11,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:11 PM
27 Dec 2019,OZH,MSQ,M9317,2:07,UR-14005,4:45 AM,5:10 AM,7:00 AM,Landed 7:17 AM
26 Dec 2019,IEV,OZH,M9202,1:11,UR-14005,6:00 PM,9:47 PM,7:15 PM,Landed 10:58 PM
26 Dec 2019,OZH,IEV,M9201,-,UR-14005,5:20 AM,â€”,6:50 AM,Landed 6:47 AM
25 Dec 2019,MSQ,OZH,M9318,2:11,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:11 PM
25 Dec 2019,OZH,MSQ,M9317,1:52,UR-14005,4:45 AM,4:57 AM,7:00 AM,Landed 6:49 AM
23 Dec 2019,MSQ,OZH,M9318,2:19,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:18 PM
23 Dec 2019,OZH,MSQ,M9317,2:07,UR-14005,4:45 AM,4:49 AM,7:00 AM,Landed 6:56 AM
22 Dec 2019,MSQ,OZH,M9318,2:18,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:17 PM
22 Dec 2019,OZH,MSQ,M9317,-,UR-14005,5:45 AM,â€”,8:00 AM,Landed 7:49 AM
20 Dec 2019,MSQ,OZH,M9318,2:09,UR-14005,12:00 PM														,11:58 AM														,2:15 PM,Landed 2:06 PM
20 Dec 2019,OZH,MSQ,M9317,2:33,UR-14005,4:45 AM,5:05 AM,7:00 AM,Landed 7:38 AM
18 Dec 2019,OZH,MSQ,M9317,-,UR-14005,4:45 AM,â€”,7:00 AM,Landed 7:35 AM
16 Dec 2019,MSQ,OZH,M9318,1:41,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 1:41 PM
16 Dec 2019,OZH,MSQ,M9317,2:40,UR-14005,4:45 AM,4:52 AM,7:00 AM,Landed 7:32 AM
15 Dec 2019,MSQ,OZH,M9318,1:54,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 1:54 PM
15 Dec 2019,OZH,MSQ,M9317,1:55,UR-14005,5:45 AM,6:02 AM,8:00 AM,Landed 7:57 AM
14 Dec 2019,IEV,OZH,M9208,1:14,UR-14005,9:30 AM,9:27 AM,10:50 AM														,Landed 10:40 AM
14 Dec 2019,OZH,IEV,M9203,1:09,UR-14005,6:30 AM,6:35 AM,7:50 AM,Landed 7:44 AM
13 Dec 2019,MSQ,OZH,M9318,2:26,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:26 PM
13 Dec 2019,OZH,MSQ,M9317,1:57,UR-14005,4:45 AM,4:52 AM,7:00 AM,Landed 6:49 AM
11 Dec 2019,MSQ,OZH,M9318,6:25,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 6:25 PM
11 Dec 2019,OZH,MSQ,M9317,2:05,UR-14005,4:45 AM,1:14 PM,7:00 AM,Landed 3:19 PM
11 Dec 2019,IEV,OZH,M9206,1:09,UR-14005,8:50 AM,11:09 AM														,10:10 AM														,Landed 12:18 PM
07 Dec 2019,OZH,IEV,M96215,1:36,UR-14005,2:49 PM,1:10 PM,â€”,Landed 2:46 PM
06 Dec 2019,MSQ,OZH,M9318,2:01,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:00 PM
06 Dec 2019,OZH,MSQ,M9317,-,UR-14005,4:45 AM,â€”,7:00 AM,Landed 7:12 AM
04 Dec 2019,MSQ,OZH,M9318,2:01,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:00 PM
04 Dec 2019,OZH,MSQ,M9317,2:38,UR-14005,4:45 AM,4:49 AM,7:00 AM,Landed 7:28 AM
02 Dec 2019,MSQ,OZH,M9318,2:01,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:00 PM
01 Dec 2019,MSQ,OZH,M9318,2:03,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:02 PM
01 Dec 2019,OZH,MSQ,M9317,2:27,UR-14005,5:45 AM,5:55 AM,8:00 AM,Landed 8:22 AM
29 Nov 2019,MSQ,OZH,M9318,2:29,UR-14005,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:28 PM
29 Nov 2019,OZH,MSQ,M9317,2:03,UR-14005,4:45 AM,5:18 AM,7:00 AM,Landed 7:21 AM
